code,learning_area_code,learning_area,level,component_code,component,strand_code,strand,content
TEC1-PRA-PLA,TEC,Technology,1,PRA,Technological Practice,PLA,Planning for practice,"Outline a general plan to support the development of an outcome, identifying appropriate steps and resources."
TEC1-PRA-BRI,TEC,Technology,1,PRA,Technological Practice,BRI,Brief development,"Describe the outcome they are developing and identify the attributes it should have, taking account of the need or opportunity and the resources available."
TEC1-PRA-DEV,TEC,Technology,1,PRA,Technological Practice,DEV,Outcome development and evaluation,Investigate a context to communicate potential outcomes. Evaluate these against attributes; select and develop an outcome in keeping with the identified attributes.
TEC1-KNO-MOD,TEC,Technology,1,KNO,Technological Knowledge,MOD,Technological modelling,Understand that functional models are used to represent reality and test design concepts and that prototypes are used to test technological outcomes.
TEC1-KNO-PRO,TEC,Technology,1,KNO,Technological Knowledge,PRO,Technological products,Understand that technological products are made from materials that have performance properties.
TEC1-KNO-SYS,TEC,Technology,1,KNO,Technological Knowledge,SYS,Technological systems,"Understand that technological systems have inputs, controlled transformations, and outputs."
TEC1-NAT-TEC,TEC,Technology,1,NAT,Nature of Technology,TEC,Characteristics of technology,Understand that technology is purposeful intervention through design.
TEC1-NAT-OUT,TEC,Technology,1,NAT,Nature of Technology,OUT,Characteristics of technological outcomes,Understand that technological outcomes are products or systems developed by people and have a physical nature and a functional nature.
TEC2-PRA-PLA,TEC,Technology,2,PRA,Technological Practice,PLA,Planning for practice,Develop a plan that identifies the key stages and the resources required to complete an outcome.
TEC2-PRA-BRI,TEC,Technology,2,PRA,Technological Practice,BRI,Brief development,"Explain the outcome they are developing and describe the attributes it should have, taking account of the need or opportunity and the resources available."
TEC2-PRA-DEV,TEC,Technology,2,PRA,Technological Practice,DEV,Outcome development and evaluation,"Investigate a context to develop ideas for potential outcomes. Evaluate these against the identified attributes, select, and develop an outcome. Evaluate the outcome in terms of the need or opportunity."
TEC2-KNO-MOD,TEC,Technology,2,KNO,Technological Knowledge,MOD,Technological modelling,"Understand that functional models are used to explore, test, and evaluate design concepts for potential outcomes and that prototyping is used to test a technological outcome for fitness of purpose."
TEC2-KNO-PRO,TEC,Technology,2,KNO,Technological Knowledge,PRO,Technological products,Understand that there is a relationship between a material used and its performance properties in a technological product.
TEC2-KNO-SYS,TEC,Technology,2,KNO,Technological Knowledge,SYS,Technological systems,"Understand that there are relationships between the inputs, controlled transformations, and outputs occurring within simple technological systems."
TEC2-NAT-TEC,TEC,Technology,2,NAT,Nature of Technology,TEC,Characteristics of technology,Understand that technology both reflects and changes society and the environment and increases people’s capability.
TEC2-NAT-OUT,TEC,Technology,2,NAT,Nature of Technology,OUT,Characteristics of technological outcomes,Understand that technological outcomes are developed through technological practice and have related physical and functional natures.
TEC3-PRA-PLA,TEC,Technology,3,PRA,Technological Practice,PLA,Planning for practice,Undertake planning to identify the key stages and resources required to develop an outcome. Revisit planning to include reviews of progress and identify implications for subsequent decision making.
TEC3-PRA-BRI,TEC,Technology,3,PRA,Technological Practice,BRI,Brief development,"Describe the nature of an intended outcome, explaining how it addresses the need or opportunity. Describe the key attributes that enable development and evaluation of an outcome."
TEC3-PRA-DEV,TEC,Technology,3,PRA,Technological Practice,DEV,Outcome development and evaluation,Investigate a context to develop ideas for potential outcomes. Trial and evaluate these against key attributes to select and develop an outcome to address the need or opportunity. Evaluate this outcome against the key attributes and how it addresses the need or opportunity.
TEC3-KNO-MOD,TEC,Technology,3,KNO,Technological Knowledge,MOD,Technological modelling,Understand that different forms of functional modelling are used to inform decision making in the development of technological possibilities and that prototypes can be used to evaluate the fitness of technological outcomes for further development.
TEC3-KNO-PRO,TEC,Technology,3,KNO,Technological Knowledge,PRO,Technological products,Understand the relationship between the materials used and their performance properties in technological products.
TEC3-KNO-SYS,TEC,Technology,3,KNO,Technological Knowledge,SYS,Technological systems,Understand that technological systems are represented by symbolic language tools and understand the role played by the “black box” in technological systems.
TEC3-NAT-TEC,TEC,Technology,3,NAT,Nature of Technology,TEC,Characteristics of technology,Understand how society and environments impact on and are influenced by technology in historical and contemporary contexts and that technological knowledge is validated by successful function.
TEC3-NAT-OUT,TEC,Technology,3,NAT,Nature of Technology,OUT,Characteristics of technological outcomes,Understand that technological outcomes are recognisable as fit for purpose by the relationship between their physical and functional natures.
TEC4-PRA-PLA,TEC,Technology,4,PRA,Technological Practice,PLA,Planning for practice,"Undertake planning that includes reviewing the effectiveness of past actions and resourcing, exploring implications for future actions and accessing of resources, and consideration of stakeholder feedback, to enable the development of an outcome."
TEC4-PRA-BRI,TEC,Technology,4,PRA,Technological Practice,BRI,Brief development,"Justify the nature of an intended outcome in relation to the need or opportunity. Describe the key attributes identified in stakeholder feedback, which will inform the development of an outcome and its evaluation."
TEC4-PRA-DEV,TEC,Technology,4,PRA,Technological Practice,DEV,Outcome development and evaluation,"Investigate a context to develop ideas for feasible outcomes. Undertake functional modelling that takes account of stakeholder feedback in order to select and develop the outcome that best addresses the key attributes. Incorporating stakeholder feedback, evaluate the outcome’s fitness for purpose in terms of how well it addresses the need or opportunity."
TEC4-KNO-MOD,TEC,Technology,4,KNO,Technological Knowledge,MOD,Technological modelling,Understand how different forms of functional modelling are used to explore possibilities and to justify decision making and how prototyping can be used to justify refinement of technological outcomes.
TEC4-KNO-PRO,TEC,Technology,4,KNO,Technological Knowledge,PRO,Technological products,"Understand that materials can be formed, manipulated, and/or transformed to enhance the fitness for purpose of a technological product."
TEC4-KNO-SYS,TEC,Technology,4,KNO,Technological Knowledge,SYS,Technological systems,Understand how technological systems employ control to allow for the transformation of inputs to outputs.
TEC4-NAT-TEC,TEC,Technology,4,NAT,Nature of Technology,TEC,Characteristics of technology,Understand how technological development expands human possibilities and how technology draws on knowledge from a wide range of disciplines.
TEC4-NAT-OUT,TEC,Technology,4,NAT,Nature of Technology,OUT,Characteristics of technological outcomes,Understand that technological outcomes can be interpreted in terms of how they might be used and by whom and that each has a proper function as well as possible alternative functions.
